ID_CATEGORIA;NOMBRE_CATEGORIA;CATEGORIA_PADRE
4;JARDINERIA Y AGRICULTURA ;0
123;Mallas agricolas;4
127;Setos, césped y ocultación;4
141;Cortacesped;4
145;Motoazadas a gasolina y accesorios;4
147;Bombas de agua;4
148;Herramientas manuales para el cuidado del jardin;4
149;Tijeras de poda y recoleccion;4
524;Tijeras 1 mano;149
525;Tijeras 2 manos;149
526;Accesorios y repuestos Tijeras de podar;149
151;Navajas;4
152;Azadas;4
153;Alcotanas, arcos de sierra y horcas;4
154;Rastrillos;4
155;Hachas ;4
156;Mantas y plasticos para agricultura;4
170;Hidrolimpiadoras;4
171;Sulfatadoras y pulverizadores;4
174;Mosquiteras / antimosquitos / antipalomas;4
512;Recortasetos y accesorios;4
511;Recortabordes y accesorios;4
514;Desbrozadores eléctricos y accesorios;4
515;Aspiradores sopladores y accesorios;4
516;Biotrituradores y accesorios;4
518;Desbrozadores gasolina y accesorios;4
522;Motosierras y accesorios;4
527;Serruchos de podar y accesorios;4
529;Mangueras;4
531;Accesorios manguera Metal;4
532;Accesorios manguera Plástico;4
533;Microrriego;4
534;Programadores riego;4
535;Regaderas y pluviómetros;4
536;Aspersores;4
537;Portamangueras;4
578;Abonos para plantas;4
677;Antiplagas;4
925;Ahuyentadores ultrasonido;677
927;Tela mosquitera en rollos;677
928;Mosquiteras fabricadas;677
929;Ahuyentador mosquitos (velas y antorchas);677
930;Trampas;677
931;Cebos;677
932;Exterminadores de insectos eléctricos;677
943;Pinchos antipalomas y cinta antipájaros;677
1128;Semillas;4
185;COCINA Y MESA;0
291;Bodega y vino;185
308;Grifos barril;291
309;Decantadores y aireadores;291
310;Conservadores y tapones;291
311;Sacacorchos;291
1119;Botelleros;291
296;Sartenes;185
297;Paelleras y paelleros;185
298;Planchas y asadoras;185
301;Soportes de jamón;185
302;Cubos y baños galvanizados;185
303;Utensilios cocina;185
306;Alfombras cocina;185
1152;Cuchiilos de untar y mondadores;185
433;Envasadoras al vacio;185
538;Máquinas picar y accesorios;185
305;Repuestos y accesorios máquinas;538
539;Máquinas;538
563;Repuestos Ollas y Cafeteras;185
910;Cuchillos serie Universal;185
912;Cuchillos serie Génova;185
913;Cuchillos serie Latina;185
914;Cuchillos jamoneros/queseros;185
915;Juegos de cuchillos;185
916;Cuchillos Chuleteros;185
917;Piquetas / Chairas / Piedras de afilar;185
918;Tijeras de cocina;185
1035;Guantes anticorte;185
920;Cubiertos serie Valencia;185
921;Cubiertos serie Murano;185
922;Cubiertos serie Mirage;185
923;Cubiertos serie Flair;185
924;Balanzas;185
1103;Antideslizantes;185
1095;Manteles y hules;185
1127;Cafeteras;185
1130;Recipientes y Botellas herméticas;185
1131;Termos;185
1134;Cuchillos serie ASPEN;185
1135;Cuchillos serie ALASKA;185
1136;Cuchillos serie GRENOBLE;185
1137;Cuchillos y Tenedores serie MONTANA;185
1138;Utensilios cocina madera;185
8;HERRAMIENTAS;0
22;Herramientas manuales;8
15;Formones y gubias;22
39;Martillos;22
40;Tenazas;22
41;Navajas/ Punzones/ Agujas;22
43;Cutter;22
44;Llaves combinadas;22
45;Torniquetes;22
46;Herramientas y artículos Fontaneria;22
48;Sierras / Guías / Marquetería;22
810;Reglas y escuadras;22
54;Sopletes;22
58;Paletas y paletines;22
61;Herramientas Soladores y alicatadores;22
62;Mazas y Picos;22
63;Palas y Palotes;22
64;Niveles ;22
65;Flexometros/ Metros/ Cintas métricas;22
66;Marcadores y señaladores;22
67;Calibres;22
809;Tiralineas y plomadas;22
91;Cortarremaches y Cortacables;22
93;Cepillos;22
94;Cortacristales;22
95;Elevación;22
256;Ferrallistas;22
259;Cepillos manuales / Barrenas / Escofinas;22
260;Sargentos de esquina y torniquetes;22
261;Herramientas de Marquetería;22
264;Llaves allen ;22
265;Llaves de vaso ;22
691;Adaptadores;265
692;Mangos corredizos;265
693;Alargaderas;265
694;Llaves de carraca;265
695;Juegos;265
696;Llaves vaso mango T;265
697;Vasos;265
266;Arcos de sierra y accesorios;22
267;Botadores / Granetes / Punzones;22
338;Extractores;22
373;Tijeras industriales;22
414;Cortafrios y punteros;22
488;Remachadoras y remaches;22
489;Grapadoras y Grapas;22
491;Serruchos;22
649;Destornilladores boca vaso hexagonal;22
650;Destornilladores boca plana estampada;22
651;Destornilladores boca plana vaciada;22
652;Destornilladores boca Torx;22
653;Destornilladores boca Philips;22
654;Destornilladores boca pozidriv;22
655;Destornilladores buscapolos;22
656;Destornilladores seguridad 1000 v.;22
657;Juegos de destornilladores;22
658;Destornilladores especiales;22
660;Destorpuntas boca plana;22
661;Destorpuntas boca hexagonal;22
662;Destorpuntas boca Philips;22
663;Destorpuntas boca Torx;22
664;Destorpuntas boca pozidriv;22
665;Portapuntas;22
666;Destorpuntas boca vaso hexagonal;22
667;Juegos de destorpuntas;22
668;Llaves bujía;22
669;Llaves ajustables;22
670;Llaves fijas;22
671;Llaves acodadas;22
672;Llaves pipa;22
673;Llaves tubo;22
674;Juegos de llaves;22
675;Llaves cruz;22
698;Tornillos de banco;22
699;Mordazas;22
700;Llaves Torx;22
701;Alicates universales;22
702;Alicates de corte ;22
703;Alicates boca plana;22
704;Alicates boca curva;22
706;Alicates pelacables;22
707;Alicates mini;22
708;Alicates especiales;22
709;Alicates arandelas;22
710;Alicates de seguridad;22
721;Llanas y talochas;22
722;Espátulas y rascadores;22
737;Limas para hierro;22
738;Limas para madera;22
739;Limas para afilar;22
740;Juegos de limas;22
741;Sacabocados;22
1153;Mangos;22
723;Mangos para Palas;1153
724;Mangos para Raederas;1153
725;Mangos para Macetas;1153
726;Mangos para Alcotanas;1153
727;Mangos para Mazas;1153
728;Mangos para Limas;1153
729;Mangos para Martillos;1153
730;Mangos para Azadas;1153
731;Mangos para Cepillos;1153
732;Mangos para Picos ;1153
733;Mangos para Hachas;1153
735;Mangos para Rastrillos;1153
736;Mangos para Espátulas soladores;1153
748;Bolsas y fundas herramientas;22
749;Cajas de herramientas y Carros;22
811;Medidores laser;22
812;Tubo transparente de nivel;22
813;Macetas;22
814;Alcotanas;22
815;Mazas de goma;22
816;Tijeras de chapa;22
817;Cribas para arena;22
818;Raederas y Rastrillos;22
933;Tijeras de cocina;22
934;Tijeras de costura y confección;22
935;Tijeras de higiene personal;22
1133;Destornilladores boca Spanner;22
1157;Llaves de gancho articuladas;22
23;Herramientas electricas;8
1151;Sierras eléctricas;23
29;Fresadoras eléctricas;23
30;Pistolas termocolantes;23
32;Polipastos eléctricos de elevación;23
33;Aspiradores eléctricos y accesorios;23
34;Bombas de agua;23
35;Hormigoneras;23
37;Hidrolimpiadoras y accesorios;23
1144;Esmeriladoras;23
268;Accesorios para herramientas eléctricas;23
269;Brocas para madera;268
271;Brocas para paredes;268
272;Brocas punta diamante;268
274;Portabrocas y llaves;268
275;Cepillos / Bonetes / Platos de caucho;268
278;Hojas de sierra;268
279;Cuchillas y correas;268
576;Juegos y maletines de brocas;268
339;Fresas;268
340;Baterias y cargadores;268
341;Varios;268
349;Brocas Sds plus / Sds Max;268
579;Brocas para cerámica y mármol;268
580;Brocas para cristal;268
581;Brocas Multiusos;268
582;Brocas Escalonadas;268
583;Brocas para grés porcelánico;268
716;Brocas Acero rápido HSS (Para hierro);268
717;Brocas Titanio HSS (Para hierro);268
718;Brocas Cobalto HSS (Para hierro);268
719;Brocas HSS Sprint (Para hierro);268
720;Brocas HSS Super (Para hierro);268
877;Coronas bimetal;268
878;Coronas widia;268
879;Coronas para madera;268
880;Soportes para coronas;268
881;Juegos de coronas;268
882;Accesorios lija;268
883;Discos lija;268
884;Lijas recambio electroportátiles;268
885;Abanicos lija;268
886;Discos de láminas;268
887;Muelas de corindón;268
888;Muelas de carburo de silicio;268
889;Muelas para esmeriladoras;268
891;Discos de corte abrasivos;268
892;Discos de corte diamante;268
1123;Brocas Hss Sprint Master (Para hierro);268
1124;Brocas Hss Pro (Para hierro);268
1125;Brocas para granito;268
1145;Amoladoras;23
1146;Multiherramientas;23
1149;Lijadoras y Pistolas decapantes;23
1147;Multiherramientas (Accesorios);23
1148;Amoladoras (Accesorios);23
1150;Cepillos eléctricos;23
492;Máquinas de soldar y accesorios;23
496;Soldadores de estaño y accesorios;23
560;Taladros y Atornilladores eléctricos;23
637;Martillos demoledores y electroneumáticos;23
638;Mezcladores eléctricos y accesorios;23
639;Niveles y medidores laser;23
1109;Taladros de columna;23
1161;Generadores;23
92;Herramientas agricolas;8
342;Azadas;92
337;Tijeras de podar (Accesorios y recambios);92
343;Serruchos de podar;92
344;Tijeras de podar y recolectar;92
345;Rastrillos y Horcas;92
346;Hachas / Tajamatas / Hoces;92
347;Serruchos de podar (Recambios);92
348;Navajas;92
9;SEGURIDAD Y VESTUARIO;0
830;Protectores auditivos;9
744;Trajes de agua;9
226;Señalización;9
239;Balizas señalización y cinta seguridad;226
240;Pintura trazadora en spray;226
241;Tela balizamiento y setas protectoras;226
893;Carteles fluorescentes;226
894;Carteles no fluorescentes;226
227;Gafas protectoras;9
229;Mascarillas respiratorias y filtros;9
230;Fajas / Rodilleras / Muñequeras;9
231;Arneses, y cinturones de seguridad;9
232;Calzado de seguridad;9
1107;Deportivas seguridad S-3;232
836;Botas seguridad S1P;232
837;Zapatos seguridad S1P;232
